Name,Address,Contact,Ranking,Cuisine,Reviews,Opening_hours,Ratings,Website,Item_url
Numero 28 Pizzeria,"28 Carmine St, New York City, NY 10014-4437",+1 212-463-9653,#9,$$ - $$$ItalianPizzaVegetarian Friendly,"1,604 reviews",,4.5,http://www.numero28.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1072874-Reviews-Numero_28_Pizzeria-New_York_City_New_York.html
Boucherie West Village,"99 7th Ave S, New York City, NY 10014-3415",+1 212-837-1616,#10,$$ - $$$FrenchSteakhouseVegetarian Friendly,"1,670 reviews",See all hours,4.5,http://boucherieus.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d11918545-Reviews-Boucherie_West_Village-New_York_City_New_York.html
Ben & Jack's Steakhouse,"219 E 44th St, New York City, NY 10017-4305",+1 212-682-5678,"#1,079",$$$$AmericanSteakhouseBar,97 reviews,See all hours,4.5,https://www.benandjackssteakhouse.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d13194792-Reviews-Ben_Jack_s_Steakhouse-New_York_City_New_York.html
Sicily,"330 w 46th street Midtown, Hells Kitchen, Theater District, New York City, NY",+1 646-609-3417,#11,$$ - $$$ItalianPizzaEuropean,315 reviews,,4.5,http://sicilynyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d23988141-Reviews-Sicily-New_York_City_New_York.html
Bua Thai Ramen & Robata Grill,"1611 2nd Ave Between 83rd & 84th Street on Upper East Side, New York City, NY 10028",+1 212-879-7999,#12,$$ - $$$SushiAsianThai,738 reviews,See all hours,4.5,http://buathairamennyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d14981486-Reviews-Bua_Thai_Ramen_Robata_Grill-New_York_City_New_York.html
Recette,"103 Havemeyer St, Brooklyn, NY 11211-6962",+1 347-227-8829,#1,$$ - $$$FrenchEuropean,66 reviews,See all hours,5.0,http://www.recettebrooklyn.com/,https://www.tripadvisor.com/Restaurant_Review-g60827-d23817968-Reviews-Recette-Brooklyn_New_York.html
Piccola Cucina Osteria,"196 Spring St Soho, New York City, NY 10012-3621",+1 646-478-7488,#13,$$ - $$$ItalianSicilianVegetarian Friendly,"2,909 reviews",See all hours,4.5,http://www.piccolacucinagroup.com/piccola-cucina-tavern-new-york/,https://www.tripadvisor.com/Restaurant_Review-g60763-d4363835-Reviews-Piccola_Cucina_Osteria-New_York_City_New_York.html
The Standard Grill,"Corner of Washington and West 13th Street, New York City, NY 10014",+1 212-645-4100,#14,$$ - $$$AmericanBarVegetarian Friendly,"2,006 reviews",See all hours,4.0,http://thestandardgrill.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1553124-Reviews-The_Standard_Grill-New_York_City_New_York.html
Benjamin Steakhouse,"52 E 41st St Between Park and Madison Avenue, New York City, NY 10017-6211",+1 212-297-9177,#264,$$$$AmericanSeafoodSoups,"2,513 reviews",See all hours,4.5,http://benjaminsteakhouse.com/nyc/?utm_source=TripAdvisor&utm_medium=TA41&utm_campaign=Web,https://www.tripadvisor.com/Restaurant_Review-g60763-d655719-Reviews-Benjamin_Steakhouse-New_York_City_New_York.html
Bill's Bar & Burger,"85 West St, New York City, NY 10006",+1 212-894-3800,#15,$$ - $$$AmericanBarVegetarian Friendly,"1,507 reviews",,4.5,https://www.billsbarandburger.com/location/bills-bar-and-burger-downtown-nyc/,https://www.tripadvisor.com/Restaurant_Review-g60763-d4522078-Reviews-Bill_s_Bar_Burger-New_York_City_New_York.html
SottoCasa Pizzeria,"227 Lenox Ave, New York City, NY 10027-6542",+1 646-928-4870,#16,$$ - $$$PizzaNeapolitanVegetarian Friendly,438 reviews,See all hours,5.0,http://sottocasanyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d10165896-Reviews-SottoCasa_Pizzeria-New_York_City_New_York.html
Spice Symphony,"150 E 50th St Between Lexington & 3rd Avenue, New York City, NY 10022-9500",+1 212-300-4869,#17,$$ - $$$IndianHealthyVegetarian Friendly,"2,869 reviews",See all hours,4.5,http://www.spicesymphony.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d3603515-Reviews-Spice_Symphony-New_York_City_New_York.html
The Consulate UWS,"519 Columbus Ave, New York City, NY 10024-3402",+1 646-781-9288,#18,$$ - $$$FrenchAmericanBar,297 reviews,See all hours,5.0,http://www.theconsulate.nyc/,https://www.tripadvisor.com/Restaurant_Review-g60763-d19245342-Reviews-The_Consulate_UWS-New_York_City_New_York.html
Los Tacos No. 1,"229 W 43rd St, New York City, NY 10036-3982",+1 212-574-4696,#19,$Quick BitesMexicanLatin,780 reviews,See all hours,4.5,http://lostacos1.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d12874338-Reviews-Los_Tacos_No_1-New_York_City_New_York.html
Jōji Box,"1 Vanderbilt Ave, New York City, NY 10017",+1 917-993-5056,,$$ - $$$JapaneseSushiAsian,0 reviews,See all hours,-1.0,https://www.facebook.com/jojiboxnyc/?locale=pa_IN,https://www.tripadvisor.com/Restaurant_Review-g60763-d26367903-Reviews-Joji_Box-New_York_City_New_York.html
Bruno's Restaurant,"15822 Crossbay Blvd, Howard Beach, NY 11414-3136",+1 718-322-7866,#1,$$ - $$$ItalianVegetarian FriendlyVegan Options,342 reviews,,5.0,http://www.bruno-ristorante.com/,https://www.tripadvisor.com/Restaurant_Review-g47927-d3443575-Reviews-Bruno_s_Restaurant-Howard_Beach_Queens_New_York.html
Bleecker Street Pizza,"69 7th Ave S at Bleecker Street Pizza, New York City, NY 10014-4043",+1 212-924-4466,#20,$ItalianPizzaFast Food,"1,812 reviews",See all hours,4.5,http://bleeckerstreetpizza.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d479337-Reviews-Bleecker_Street_Pizza-New_York_City_New_York.html
Mei Jin Ramen,"1574 2nd Ave, New York City, NY 10028-2617",+1 212-327-2800,#21,$$ - $$$JapaneseAsianSoups,181 reviews,See all hours,4.5,http://www.meijinramen.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7284388-Reviews-Mei_Jin_Ramen-New_York_City_New_York.html
DeStefano's Steak House,"89 Conselyea St, Brooklyn, NY 11211-2301",+1 718-384-2836,#2,$$$$AmericanSteakhouseGluten Free Options,292 reviews,,4.5,http://deesteakhouse.com/,https://www.tripadvisor.com/Restaurant_Review-g60827-d1370161-Reviews-DeStefano_s_Steak_House-Brooklyn_New_York.html
Bagels & Schmear,"116 E 28th St, New York City, NY 10016-8402",+1 212-725-7873,#22,$AmericanCafeVegetarian Friendly,274 reviews,05:30 AM - 6:00 PM,4.5,http://www.bagelsandschmear.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d3191154-Reviews-Bagels_Schmear-New_York_City_New_York.html
Tasca,"505 Columbus Ave Near 85th Street, New York City, NY 10024-4467",+1 212-362-2211,"#3,819",$$ - $$$CaribbeanLatinSpanish,5 reviews,See all hours,4.5,http://www.tasca-nyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d23790493-Reviews-Tasca-New_York_City_New_York.html
Blue Fin,"1567 Broadway, New York City, NY 10036",+1 212-918-1400,#23,$$ - $$$SeafoodSushiVegetarian Friendly,"2,270 reviews",,4.0,https://www.bluefinnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d481819-Reviews-Blue_Fin-New_York_City_New_York.html
Jungsik,"2 Harrison St, New York City, NY 10013-2810",+1 212-219-0900,#24,$$$$AsianKoreanGluten Free Options,296 reviews,,4.5,http://www.jungsik.kr/,https://www.tripadvisor.com/Restaurant_Review-g60763-d2345886-Reviews-Jungsik-New_York_City_New_York.html
Hobby's Delicatessen & Restaurant,"32 Branford Pl, Newark, NJ 07102-2723",+1 973-623-0410,#1,$$ - $$$AmericanDeliVegetarian Friendly,239 reviews,,4.5,http://www.hobbysdeli.com/,https://www.tripadvisor.com/Restaurant_Review-g46671-d2071446-Reviews-Hobby_s_Delicatessen_Restaurant-Newark_New_Jersey.html
Loi Estiatorio,"132 W 58th St, New York City, NY 10019-2135",+1 212-713-0015,#25,$$ - $$$SeafoodMediterraneanEuropean,651 reviews,See all hours,4.5,http://www.loiestiatorio.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7814915-Reviews-Loi_Estiatorio-New_York_City_New_York.html
Katherine Meets Toni,"41 W 35 St, New York City, NY 10001-2220",+1 646-864-0111,#26,$$ - $$$Italian,198 reviews,,4.5,http://www.katherinenyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d25096804-Reviews-Katherine_Meets_Toni-New_York_City_New_York.html
Benjamin Steakhouse Prime,"23 E 40th St Between Park and Madison Avenue, New York City, NY 10016-0106",+1 212-338-0818,#147,$$$$AmericanSteakhouseSeafood,324 reviews,See all hours,4.5,http://benjaminsteakhouse.com/prime/?utm_source=tripadvisor&utm_medium=taprime&utm_campaign=Prime_Web,https://www.tripadvisor.com/Restaurant_Review-g60763-d11798975-Reviews-Benjamin_Steakhouse_Prime-New_York_City_New_York.html
Sottocasa Pizzeria,"298 Atlantic Ave., Brooklyn, NY 11201",+1 718-852-8758,#3,$$ - $$$ItalianPizzaNeapolitan,368 reviews,See all hours,4.5,http://www.sottocasanyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60827-d3437996-Reviews-Sottocasa_Pizzeria-Brooklyn_New_York.html
Pure Thai Cookhouse,"766 9th Avenue W51-52 St, New York City, NY 10019-6323",+1 212-581-0999,#27,$$ - $$$AsianThaiVegetarian Friendly,"1,539 reviews",See all hours,4.5,https://www.facebook.com/PUREThaiNY/,https://www.tripadvisor.com/Restaurant_Review-g60763-d2099173-Reviews-Pure_Thai_Cookhouse-New_York_City_New_York.html
Oregano,"102 Berry St, Brooklyn, NY 11249-3231",+1 718-599-5988,#4,$$ - $$$ItalianPizzaVegetarian Friendly,310 reviews,See all hours,4.5,http://www.oreganowilliamsburg.com/,https://www.tripadvisor.com/Restaurant_Review-g60827-d3639527-Reviews-Oregano-Brooklyn_New_York.html
Spice Symphony,"182 Lexington Ave Between 31st and 32nd street, New York City, NY 10016-6849",+1 212-545-7742,#28,$$ - $$$IndianAsianVegetarian Friendly,224 reviews,,4.5,http://www.spicesymphony.com/31st-street/,https://www.tripadvisor.com/Restaurant_Review-g60763-d12383830-Reviews-Spice_Symphony-New_York_City_New_York.html
Scalini Fedeli,"165 Duane St., New York City, NY 10013-3332",+1 212-528-0400,#29,$$$$ItalianPizzaTuscan,453 reviews,,4.5,http://www.scalinifedeli.com/new-york,https://www.tripadvisor.com/Restaurant_Review-g60763-d424246-Reviews-Scalini_Fedeli-New_York_City_New_York.html
Miss Mamie's Spoonbread Too,"366 W 110th St, New York City, NY 10025-2633",+1 212-865-6744,"#2,659",$$ - $$$AmericanCaribbeanCajun & Creole,102 reviews,See all hours,4.0,https://spoonbreadinc.com/#,https://www.tripadvisor.com/Restaurant_Review-g60763-d426019-Reviews-Miss_Mamie_s_Spoonbread_Too-New_York_City_New_York.html
Kuu Ramen,"20 John St near Wall Street and Fulton St subway, New York City, NY 10038-4038",+1 212-571-7177,#30,$JapaneseAsianSoups,241 reviews,See all hours,4.5,http://meijinramen.wixsite.com/kuuramen,https://www.tripadvisor.com/Restaurant_Review-g60763-d7890999-Reviews-Kuu_Ramen-New_York_City_New_York.html
Trattoria L'incontro,"2176 31st St, Astoria, NY 11105-2602",+1 718-721-3532,#1,$$$$ItalianVegetarian FriendlyVegan Options,430 reviews,,4.5,http://trattorialincontro.com/,https://www.tripadvisor.com/Restaurant_Review-g29837-d457861-Reviews-Trattoria_L_incontro-Astoria_Queens_New_York.html
San Carlo Osteria Piemonte,"90 Thompson St Btw Spring St & Prince St, New York City, NY 10012-3744",+1 212-625-1212,#31,$$ - $$$ItalianMediterraneanVegetarian Friendly,768 reviews,See all hours,4.5,http://www.sancarlonyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d10032108-Reviews-San_Carlo_Osteria_Piemonte-New_York_City_New_York.html
IL Punto Ristorante,"507 9th Ave Corner of W 38th Street, New York City, NY 10018-2802",+1 212-244-0088,#32,$$ - $$$ItalianVegetarian FriendlyVegan Options,"1,608 reviews",See all hours,4.5,http://ilpuntorestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1903700-Reviews-IL_Punto_Ristorante-New_York_City_New_York.html
Buenos Aires,"513 E 6th St Ground Floor, New York City, NY 10009-6621",+1 212-228-2775,#33,$$ - $$$SteakhouseLatinArgentinean,492 reviews,See all hours,4.5,http://www.buenosairesnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d901589-Reviews-Buenos_Aires-New_York_City_New_York.html
Da Andrea,"35 W 13th St, New York City, NY 10011-7924",+1 212-367-1979,#249,$$ - $$$ItalianVegetarian FriendlyVegan Options,377 reviews,See all hours,4.5,https://www.facebook.com/daandreanyc/,https://www.tripadvisor.com/Restaurant_Review-g60763-d457849-Reviews-Da_Andrea-New_York_City_New_York.html
Izakaya MEW,"53 W 35th St Basement, New York City, NY 10001-2219",+1 646-368-9459,#34,$$ - $$$JapaneseSushiAsian,"1,114 reviews",See all hours,4.5,http://mewnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d4721694-Reviews-Izakaya_MEW-New_York_City_New_York.html
Johny's Luncheonette,"124 W 25th St Frnt 1, New York City, NY 10001-7421",+1 212-243-6230,#35,$AmericanDinerVegetarian Friendly,454 reviews,,4.5,http://www.johnysluncheonette.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d2460876-Reviews-Johny_s_Luncheonette-New_York_City_New_York.html
Bill's Bar & Burger,"16 West 51st St Rockefeller Center, New York City, NY 10019",+1 212-705-8510,#36,$$ - $$$AmericanBarVegetarian Friendly,"4,026 reviews",,4.0,https://www.billsbarandburger.com/location/bills-bar-and-burger-rockefeller-center/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1950899-Reviews-Bill_s_Bar_Burger-New_York_City_New_York.html
Michael's of Brooklyn,"2929 Avenue R, Brooklyn, NY 11229-2604",+1 718-998-7851,#5,$$$$ItalianVegetarian FriendlyVegan Options,218 reviews,,4.5,http://michaelsofbrooklyn.com/,https://www.tripadvisor.com/Restaurant_Review-g60827-d459576-Reviews-Michael_s_of_Brooklyn-Brooklyn_New_York.html
NY Pizza Suprema,"413 8th Ave, New York City, NY 10001-1804",+1 212-594-8939,#37,$ItalianPizzaFast Food,"1,365 reviews",See all hours,4.5,http://www.nypizzasuprema.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d2409563-Reviews-NY_Pizza_Suprema-New_York_City_New_York.html
The Elgin,"64 West 48th Street between 5th & 6th Avenues, New York City, NY 10036",+1 212-221-2100,#8,$$ - $$$AmericanBarPub,69 reviews,See all hours,4.5,https://www.elginnyc.com/menus/,https://www.tripadvisor.com/Restaurant_Review-g60763-d18542557-Reviews-The_Elgin-New_York_City_New_York.html
Royal 35 Steakhouse,"1 E 35th Street, New York City, NY 10016-3828",+1 212-804-7276,#38,$$$$AmericanSteakhouseGluten Free Options,617 reviews,See all hours,4.5,http://www.royal35steakhouse.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d12015308-Reviews-Royal_35_Steakhouse-New_York_City_New_York.html
B Side Pizzeria,"370 W 51st St, New York City, NY 10019-6403",+1 646-679-7225,#39,$$ - $$$ItalianPizzaVegetarian Friendly,540 reviews,,4.5,http://bsidepizzabar-nyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7078660-Reviews-B_Side_Pizzeria-New_York_City_New_York.html
Thai Villa,"5 E 19th St, New York City, NY 10003-1107",+1 212-802-9999,#40,$$ - $$$ThaiVegetarian FriendlyVegan Options,221 reviews,07:00 AM - 10:00 PM,4.5,http://www.thaivillanyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d11356100-Reviews-Thai_Villa-New_York_City_New_York.html
Patsy's Italian Restaurant,"236 W 56th St, New York City, NY 10019-4306",+1 212-247-3491,#41,$$ - $$$ItalianNeapolitanVegetarian Friendly,"5,310 reviews",See all hours,4.5,http://www.patsys.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d478026-Reviews-Patsy_s_Italian_Restaurant-New_York_City_New_York.html
Song E Napule Pizzeria & Trattoria,"146 W Houston St, New York City, NY 10012-2561",+1 212-533-1242,#42,$$ - $$$ItalianPizzaVegetarian Friendly,425 reviews,See all hours,4.5,http://www.songenapulenyc.us/?utm_source=TripAdvisor&utm_medium=TripAdvWebsite&utm_campaign=TA&utm_term=TA,https://www.tripadvisor.com/Restaurant_Review-g60763-d8319600-Reviews-Song_E_Napule_Pizzeria_Trattoria-New_York_City_New_York.html
The Ivory Peacock Bar,"38 W 26th Between 6th Avenue And Broadway, New York City, NY 10010",+1 646-930-8888,"#2,656",$$$$FrenchJapanese,9 reviews,See all hours,5.0,http://www.theivorypeacock.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d25458563-Reviews-The_Ivory_Peacock_Bar-New_York_City_New_York.html
Dinosaur Bar-B-Que,"700 W 125th St, New York City, NY 10027",+1 212-694-1777,#43,$$ - $$$AmericanBarBarbecue,"1,245 reviews",See all hours,4.5,http://dinosaurbarbque.com/locations/harlem,https://www.tripadvisor.com/Restaurant_Review-g60763-d620401-Reviews-Dinosaur_Bar_B_Que-New_York_City_New_York.html
Hummus Place,"305 Amsterdam Ave, New York City, NY 10023-1739",+1 212-799-3335,#44,$LebaneseMediterraneanMiddle Eastern,355 reviews,See all hours,4.5,http://www.hummusplace.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d2452488-Reviews-Hummus_Place-New_York_City_New_York.html
Norma - Gastronomia Siciliana,"438 3rd Ave At 30th St, New York City, NY 10016-6040",+1 212-889-0600,#45,$$ - $$$ItalianPizzaSicilian,296 reviews,See all hours,4.5,http://www.normarestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d11876357-Reviews-Norma_Gastronomia_Siciliana-New_York_City_New_York.html
Blue Ribbon Sushi,"119 Sullivan Street, New York City, NY 10012",+1 212-343-0404,#46,$$ - $$$JapaneseSushiAsian,"1,063 reviews",See all hours,4.5,https://www.blueribbonsushi119.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d457772-Reviews-Blue_Ribbon_Sushi-New_York_City_New_York.html
Cafe Mogador Williamsburg,"133 Wythe Ave, Brooklyn, NY 11249-2809",+1 718-486-9222,#6,$$ - $$$MoroccanMediterraneanMiddle Eastern,482 reviews,See all hours,4.5,http://www.cafemogador.com/,https://www.tripadvisor.com/Restaurant_Review-g60827-d4617929-Reviews-Cafe_Mogador_Williamsburg-Brooklyn_New_York.html
Craft,"43 E 19th St, New York City, NY 10003-1304",+1 212-780-0880,#47,$$$$AmericanVegetarian FriendlyVegan Options,"1,038 reviews",See all hours,4.5,http://www.craftrestaurant.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1750605-Reviews-Craft-New_York_City_New_York.html
Lee's Tavern,"60 Hancock St, Staten Island, NY 10305-1243",+1 718-667-9749,#2,$ItalianBarPizza,402 reviews,See all hours,4.5,http://www.leestavernnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g48682-d1035796-Reviews-Lee_s_Tavern-Staten_Island_New_York.html
Daniel,"60 East 65th Street, New York City, NY 10065-7056",212 288 0033,#48,$$$$FrenchVegetarian FriendlyVegan Options,"3,404 reviews",See all hours,4.5,http://www.danielnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d457808-Reviews-Daniel-New_York_City_New_York.html
Cull & Pistol,"75 9th Ave Chelsea Market, New York City, NY 10011-7006",+1 646-568-1223,#49,$$ - $$$AmericanSeafoodHealthy,"1,009 reviews",See all hours,4.5,http://www.lobsterplace.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d4225718-Reviews-Cull_Pistol-New_York_City_New_York.html
Black Iron Burger,"245 W 38th St, New York City, NY 10018-4509",+1 646-476-3116,#50,$$ - $$$AmericanBarVegetarian Friendly,"1,088 reviews",See all hours,4.5,http://www.blackironburger.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d8153582-Reviews-Black_Iron_Burger-New_York_City_New_York.html
Goldie's Tavern,"135 W 30th St, New York City, NY 10001-4012",+1 212-465-3437,#111,AmericanBarPubHealthy,10 reviews,See all hours,4.0,http://www.goldiestavern.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d24064034-Reviews-Goldie_s_Tavern-New_York_City_New_York.html
The Elgin,"64 West 48th Street between 5th & 6th Avenues, New York City, NY 10036",+1 212-221-2100,#8,$$ - $$$AmericanBarPub,69 reviews,See all hours,4.5,https://www.elginnyc.com/menus/,https://www.tripadvisor.com/Restaurant_Review-g60763-d18542557-Reviews-The_Elgin-New_York_City_New_York.html
IL Melograno,"501 W 51st St, New York City, NY 10019-5341",+1 212-757-9290,#51,$$ - $$$ItalianSicilianVegetarian Friendly,341 reviews,,4.5,http://www.ilmelogranonyc.com/?utm_source=TripAdvisor&utm_medium=TripAdvWebsite&utm_campaign=TA&utm_term=TA,https://www.tripadvisor.com/Restaurant_Review-g60763-d953662-Reviews-IL_Melograno-New_York_City_New_York.html
The Modern,"9 W 53rd St Museum of Modern Art, New York City, NY 10019-5401",+1 212-333-1220,#52,$$$$AmericanContemporaryVegetarian Friendly,"2,151 reviews",See all hours,4.5,http://www.themodernnyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d549201-Reviews-The_Modern-New_York_City_New_York.html
Amelie,"22 W 8th St Upper West Side, New York City, NY 10011-9002",+1 212-533-2962,#53,$$ - $$$FrenchEuropeanWine Bar,462 reviews,,4.5,http://www.ameliewinebar.com/home/,https://www.tripadvisor.com/Restaurant_Review-g60763-d2704704-Reviews-Amelie-New_York_City_New_York.html
Bemelmans Bar,"35 E 76th St, New York City, NY 10021-1827",+1 212-744-1600,#54,$$$$AmericanBar,513 reviews,See all hours,4.5,http://www.rosewoodhotels.com/en/the-carlyle-new-york/dining/bemelmans-bar,https://www.tripadvisor.com/Restaurant_Review-g60763-d1143073-Reviews-Bemelmans_Bar-New_York_City_New_York.html
Nerai,"55 E 54th St Between Madison Avenue & Park Avenue, New York City, NY 10022-4206",+1 212-759-5554,#55,$$$$SeafoodMediterraneanGreek,693 reviews,See all hours,4.5,http://nerainyc.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d4101797-Reviews-Nerai-New_York_City_New_York.html
Anto,"243 E 58th St, New York City, NY 10022-1201",+1 212-970-8888,#989,$$$$SteakhouseAsianKorean,28 reviews,,5.0,http://www.anto.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d25243108-Reviews-Anto-New_York_City_New_York.html
Spanish Tavern,"103 McWhorter St, Newark, NJ 07105-1359",+1 973-589-4959,#2,$$ - $$$SeafoodMediterraneanSpanish,577 reviews,See all hours,4.5,http://www.spanishtavernnewark.com/,https://www.tripadvisor.com/Restaurant_Review-g46671-d775650-Reviews-Spanish_Tavern-Newark_New_Jersey.html
Momosan Ramen & Sake,"342 Lexington Ave, New York City, NY 10016",+1 646-201-5529,#56,$$ - $$$JapaneseSushiAsian,619 reviews,See all hours,4.5,http://momosanramen.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d10171185-Reviews-Momosan_Ramen_Sake-New_York_City_New_York.html
Obao Noodles & Bbq,"222 E 53rd Street between 3rd Avenue and 2nd Avenue, New York City, NY 10022-5205",+1 212-308-5588,#57,$$ - $$$VietnameseVegetarian FriendlyVegan Options,417 reviews,See all hours,4.5,http://www.obaony.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d3263717-Reviews-Obao_Noodles_Bbq-New_York_City_New_York.html
Per Se,"10 Columbus Cir, New York City, NY 10019-1158",+1 212-823-9335,#58,$$$$FrenchVegetarian FriendlyVegan Options,"1,875 reviews",See all hours,4.5,http://www.perseny.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d425628-Reviews-Per_Se-New_York_City_New_York.html
The Capital Grille,"155 E 42nd St, New York City, NY 10017",+1 212-953-2000,#59,$$$$AmericanSteakhouseVegetarian Friendly,960 reviews,See all hours,4.5,https://www.thecapitalgrille.com/locations/ny/new-york/nyc-chrysler-center/8021,https://www.tripadvisor.com/Restaurant_Review-g60763-d1018334-Reviews-The_Capital_Grille-New_York_City_New_York.html
